num_lines,exec_time_no_tests,exec_time_with_tests
100,0.007386083000000002,0.017781000000000005
1000,0.07086324999999999,0.14957525
2000,0.14617750000000002,0.320135125
3000,0.21773062499999996,0.452161167
4000,0.2923329589999999,0.5866926249999997
5000,0.3596546250000001,0.7377532919999998
6000,0.43705508299999973,0.9614128750000002
7000,0.5147329169999999,1.0770470840000002
8000,0.5921829169999997,1.2050179169999993
9000,0.6938451660000009,1.3685739160000008
10000,0.7274675409999993,1.4874245419999994
